dataset,annotation,annotation_fmt,p.value
Hypothalamus,n01.Hdc,ARCME-NEURO1,0.53523299568079
Hypothalamus,n02.Gm8773-Tac1,ARCME-NEURO2,0.270477225234712
Hypothalamus,n03,ARCME-NEURO3,0.261665118245411
Hypothalamus,n04.Sst-Nts,ARCME-NEURO4,0.304238209890032
Hypothalamus,n05.Nfix-Htr2c,ARCME-NEURO5,0.577443314529401
Hypothalamus,n06.Oxt,ARCME-NEURO6,0.21486419927469
Hypothalamus,n07,ARCME-NEURO7,0.478654023988205
Hypothalamus,n08,ARCME-NEURO8,0.219956584058027
Hypothalamus,n09.Th-Slc6a3,ARCME-NEURO9,0.187099659722364
Hypothalamus,n10.Ghrh,ARCME-NEURO10,0.530324890557334
Hypothalamus,n11.Th-Cxcl12,ARCME-NEURO11,6.61268597577955e-4
Hypothalamus,n12.Agrp-Sst,ARCME-NEURO12,0.115841116096816
Hypothalamus,n13.Agrp-Gm8773,ARCME-NEURO13,0.0625810670933769
Hypothalamus,n14.Pomc-Ttr,ARCME-NEURO14,0.00480268407652284
Hypothalamus,n15.Pomc-Anxa2,ARCME-NEURO15,0.0186997846892855
Hypothalamus,n16.Rgs16-Vip,ARCME-NEURO16,0.0309000641079134
Hypothalamus,n17.Rgs16-Dlx1,ARCME-NEURO17,0.499592525174264
Hypothalamus,n18.Rgs16-Slc17a6,ARCME-NEURO18,0.0485310011077418
Hypothalamus,n19.Gpr50,ARCME-NEURO19,0.151607998567672
Hypothalamus,n20.Kiss1-Tac2,ARCME-NEURO20,0.0719749602474221
Hypothalamus,n21.Pomc-Glipr1,ARCME-NEURO21,0.0105547720166576
Hypothalamus,n22.Tmem215,ARCME-NEURO22,0.0141665854038215
Hypothalamus,n23.Sst-Unc13c,ARCME-NEURO23,0.877175019083118
Hypothalamus,n24.Sst-Pthlh,ARCME-NEURO24,0.264532305688313
Hypothalamus,n25.Th-Lef1,ARCME-NEURO25,0.56475427721454
Hypothalamus,n26.Htr3b,ARCME-NEURO26,0.14901724540221
Hypothalamus,n27,ARCME-NEURO27,0.030043464321805
Hypothalamus,n28.Qrfp,ARCME-NEURO28,0.0865191128216775
Hypothalamus,n29.Nr5a1-Adcyap1,ARCME-NEURO29,0.0518342730248036
Hypothalamus,n30.Nr5a1-Nfib,ARCME-NEURO30,0.0599978216538761
Hypothalamus,n31.Fam19a2,ARCME-NEURO31,0.33297725151197
Hypothalamus,n32.Slc17a6-Trhr,ARCME-NEURO32,0.00153212073404484
Hypothalamus,n33.unassigned(1),ARCME-OTHER1,0.0250495010457491
Hypothalamus,n34.unassigned(2),ARCME-OTHER2,0.0748201171293489
Hypothalamus,s01.Ependymocy1,ARCME-EPENDY1,0.807517123666569
Hypothalamus,s02.Ependymocy2,ARCME-EPENDY2,0.313510281628898
Hypothalamus,s03.Oligodendro1,ARCME-OLIGO1,0.878597100617758
Hypothalamus,s04.Oligodendro2,ARCME-OLIGO2,0.832349898651023
